Match,Over 1,Over 2,Over 3,Over 4,Over 5,Over 6,Over 7,Over 8,Over 9,Over 10,Over 11,Over 12,Over 13,Over 14,Over 15,Over 16,Over 17,Over 18,Over 19,Over 20
Match 1,9/1,17/1,29/2,36/2,47/2,52/2,54/2,55/3,64/3,68/3,81/3,88/3,100/3,108/3,121/4,127/4,139/5,151/5,168/5,174/6
Match 2,12/0,23/0,23/1,26/1,35/1,44/1,50/2,54/2,70/2,72/3,82/3,91/4,98/4,107/4,111/4,118/4,132/5,147/5,154/5,168/5
Match 3,14/0,17/1,22/2,24/2,32/2,47/2,52/2,55/2,62/2,72/3,83/3,91/3,94/4,104/5,113/5,129/5,143/6,170/6,193/8,200/9
Match 4,8/1,20/1,33/2,42/3,52/3,62/4,67/6,73/7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Match 5,7/0,10/0,16/0,17/0,29/0,38/1,45/2,48/3,58/3,64/3,74/3,83/3,98/3,109/3,116/3,120/3,133/3,140/3,152/3,157/4
Match 6,8/0,15/0,22/0,26/1,29/1,34/1,47/2,51/2,65/2,68/3,74/3,78/4,80/5,87/5,94/5,98/6,102/7,106/7,118/8,123/10
Match 7,5/1,22/1,36/1,51/1,63/1,87/1,107/1,128/1,133/2,141/2,150/3,155/3,169/4,172/5,183/5,193/5,212/5,217/7,222/8,240/8
Match 8,3/1,5/1,15/1,25/1,43/1,54/1,67/1,83/1,92/2,96/2,111/2,112/3,121/3,135/3,138/4,149/4,153/5,165/5,171/5,180/5
Match 9,12/0,14/1,20/2,24/2,29/3,32/4,34/4,44/5,50/5,59/6,65/6,81/6,85/6,97/6,101/6,107/6,117/7,120/7,124/7,133/8
Match 10,5/0,14/1,16/1,32/1,41/1,51/1,56/1,60/1,66/2,69/3,72/5,75/5,78/6,84/6,88/7,96/8,99/8,103/9,N/A,N/A
Match 11,6/0,16/1,25/2,35/3,39/3,44/3,54/3,54/3,60/3,63/3,70/4,71/4,80/5,85/5,101/5,110/6,122/6,126/7,143/7,158/8
Match 12,1/1,9/1,16/1,23/1,27/1,34/1,38/2,39/4,46/4,49/4,56/4,65/4,66/4,76/4,79/4,82/6,86/6,89/8,92/8,101/9
Match 13,5/0,10/1,15/1,21/2,25/2,29/2,38/2,41/3,46/3,53/4,53/5,56/5,65/5,68/6,75/6,84/7,91/7,96/7,106/8,106/10
Match 14,9/1,28/1,35/2,37/2,45/2,52/3,57/3,63/3,67/4,73/5,74/6,76/7,81/7,82/9,82/10,N/A,N/A,N/A,N/A,N/A
Match 15,12/0,19/1,27/2,34/2,45/2,52/2,56/2,59/2,61/4,69/4,75/4,78/5,87/5,90/5,94/5,96/6,104/6,113/7,123/8,130/9
Match 16,2/0,5/1,10/2,14/2,29/2,38/2,46/2,50/3,53/3,61/3,65/3,72/3,87/3,104/3,109/3,116/3,121/4,125/5,139/6,144/6
Match 17,2/0,9/0,15/0,32/0,40/0,58/1,63/1,65/2,69/2,78/2,82/2,85/3,96/3,101/3,101/3,110/4,120/4,131/4,137/6,149/6
Match 18,7/0,11/0,32/0,41/0,46/1,55/1,57/1,67/1,76/1,80/1,89/1,96/1,108/1,111/2,119/3,125/3,135/4,140/4,152/4,161/6
Match 19,0/1,7/2,7/2,14/2,19/3,21/4,22/4,24/4,29/4,32/5,43/5,43/6,46/6,53/6,64/6,68/6,72/7,77/8,80/8,86/8
Match 20,8/1,12/1,24/1,35/1,48/1,62/1,66/1,68/2,76/3,92/3,103/3,115/4,125/4,127/5,134/5,149/5,162/6,172/6,186/6,198/6
Match 21,3/0,7/0,9/2,13/2,26/2,26/2,32/3,36/4,44/5,49/6,49/7,52/8,66/8,73/8,79/9,96/10,N/A,N/A,N/A,N/A
Match 22,9/0,12/0,25/0,26/1,36/1,51/1,56/2,75/2,84/3,88/3,98/3,111/3,119/3,127/3,139/4,154/4,171/4,182/4,202/5,207/7
Match 23,2/2,3/2,6/3,8/3,12/4,13/5,15/5,23/5,37/5,37/6,38/8,38/9,41/10,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Match 24,11/0,16/0,20/1,28/1,29/1,30/2,43/3,50/3,52/3,55/5,63/5,66/5,73/5,75/6,77/6,85/6,88/7,91/7,96/7,106/7
Match 25,8/0,13/0,23/0,33/0,47/0,59/1,66/2,74/2,83/3,84/4,96/5,105/5,114/5,126/5,126/7,133/7,143/7,145/8,150/9,157/10
