Enter the details for prediction:

Predicted Scores Table:47/10
 Over  Score  Wickets  Predicted Final Score
    6     32        2                 110.23
    7     38        3                 124.91
    8     45        5                  94.28
    9     47        6                  63.44
   10     47        7                  50.56
   11     47        8                  48.67
   12     47       10                  46.94

Predicted Scores Table:164/4
 Over  Score  Wickets  Predicted Final Score
    6     57        0                 188.63
    7     62        1                 169.62
    8     71        1                 166.61
    9     75        1                 170.33
   10     82        1                 174.09
   11     87        2                 170.58
   12     95        2                 165.00
   13     97        3                 184.52
   14    103        3                 159.23
   15    116        3                 167.29

Predicted Scores Table:77/10
 Over  Score  Wickets  Predicted Final Score
    6     24        1                 103.15
    7     30        1                 105.60
    8     31        2                  94.30
    9     36        4                  84.81
   10     40        5                  79.36
   11     44        5                  80.69
   12     46        6                  75.15
   13     53        6                  80.30
   14     61        6                  80.94
   15     68        7                  82.34

Predicted Scores Table:146/5
 Over  Score  Wickets  Predicted Final Score
    6     41        1                 127.49
    7     51        1                 129.06
    8     55        1                 130.63
    9     60        1                 143.83
   10     67        1                 142.48
   11     79        1                 156.18
   12     96        1                 173.08
   13     98        2                 178.35
   14    104        2                 165.01
   15    112        3                 165.66

Predicted Scores Table:183/5
 Over  Score  Wickets  Predicted Final Score
    6     66        0                 185.62
    7     75        0                 196.97
    8     80        0                 179.38
    9     90        0                 172.96
   10    102        0                 198.28
   11    113        0                 193.83
   12    120        0                 196.23
   13    127        0                 187.87
   14    152        0                 193.51
   15    156        1                 196.73

Predicted Scores Table:106/10
 Over  Score  Wickets  Predicted Final Score
    6     29        2                 118.64
    7     38        2                 108.47
    8     41        3                 135.30
    9     46        3                 108.36
   10     53        4                 132.74
   11     53        5                  80.94
   12     56        5                 106.05
   13     65        5                 103.80
   14     68        6                 102.53
   15     75        6                 106.57

Predicted Scores Table:154/6
 Over  Score  Wickets  Predicted Final Score
    6     75        3                 211.53
    7     95        3                 232.27
    8    105        4                 178.82
    9    122        5                 159.83
   10    139        5                 283.93
   11    154        6                 270.96

Predicted Scores Table:99/8
 Over  Score  Wickets  Predicted Final Score
    6     18        2                  61.52
    7     23        2                  73.51
    8     31        2                  94.30
    9     33        2                 103.78
   10     38        2                  92.28
   11     39        2                  88.09
   12     45        3                  96.78
   13     55        3                 104.48
   14     60        4                  99.93
   15     63        6                  81.09

Predicted Scores Table:141/6
 Over  Score  Wickets  Predicted Final Score
    6     45        0                 170.63
    7     47        1                 131.21
    8     52        1                 145.27
    9     60        1                 143.83
   10     63        1                 137.61
   11     66        2                 140.04
   12     70        2                 134.16
   13     74        3                 138.10
   14     80        3                 140.45
   15     91        4                 133.64

Predicted Scores Table:129/4
 Over  Score  Wickets  Predicted Final Score
    6     23        0                 133.58
    7     26        0                 137.08
    8     28        0                 134.39
    9     41        0                 131.74
   10     47        0                 122.36
   11     52        0                 120.49
   12     55        0                 118.78
   13     59        1                 112.78
   14     67        1                 107.26
   15     71        2                 116.68

Predicted Scores Table:171/8
 Over  Score  Wickets  Predicted Final Score
    6     63        2                 139.87
    7     65        3                 161.88
    8     67        3                 173.76
    9     78        3                 197.37
   10     85        3                 159.04
   11     93        3                 163.67
   12    108        3                 192.58
   13    120        3                 190.62
   14    125        4                 192.81
   15    129        4                 154.44

Predicted Scores Table:72/10
 Over  Score  Wickets  Predicted Final Score
    6     17        3                  99.79
    7     18        3                  90.29
    8     19        4                  47.13
    9     21        5                  42.44
   10     27        5                  53.17
   11     33        6                  86.35
   12     36        6                  62.73
   13     43        8                  56.95
   14     51        8                  62.22
   15     60        8                  73.20

Predicted Scores Table:115/10
 Over  Score  Wickets  Predicted Final Score
    6     21        3                 109.29
    7     33        3                 117.21
    8     40        3                 122.49
    9     48        3                 113.21
   10     57        3                 143.03
   11     67        3                 149.70
   12     78        4                 136.06
   13     92        5                 128.35
   14     96        7                 120.23
   15    103        9                 126.45

Predicted Scores Table:104/9
 Over  Score  Wickets  Predicted Final Score
    6     36        2                 101.48
    7     39        2                 106.81
    8     43        2                 123.64
    9     46        3                 108.36
   10     51        4                 111.54
   11     56        5                 106.91
   12     59        5                 102.83
   13     66        5                 103.89
   14     68        6                 102.53
   15     77        6                 109.52

Predicted Scores Table:148/6
 Over  Score  Wickets  Predicted Final Score
    6     40        0                 172.23
    7     48        0                 177.38
    8     52        0                 153.59
    9     56        0                 143.15
   10     64        0                 140.93
   11     74        0                 150.85
   12     83        0                 166.22
   13     96        0                 155.29
   14    104        0                 151.68
   15    109        0                 164.36

Predicted Scores Table:174/7
 Over  Score  Wickets  Predicted Final Score
    6     48        0                 170.26
    7     51        0                 157.99
    8     58        1                 168.28
    9     61        1                 151.92
   10     77        1                 157.73
   11     86        1                 172.51
   12     96        3                 172.75
   13    103        3                 177.87
   14    109        3                 170.17
   15    119        4                 167.94

Predicted Scores Table:41/10
 Over  Score  Wickets  Predicted Final Score
    6     13        5                  28.86
    7     15        5                  37.85
    8     23        5                  44.52
    9     37        5                  57.82
   10     37        6                  54.08
   11     38        8                  59.88
   12     38        9                  50.76
   13     41       10                  44.40

Predicted Scores Table:161/4
 Over  Score  Wickets  Predicted Final Score
    6     60        0                 184.83
    7     68        0                 173.10
    8     69        0                 166.96
    9     74        0                 177.84
   10     85        1                 164.18
   11     94        1                 167.55
   12     99        1                 189.32
   13    113        1                 173.58
   14    124        1                 170.15
   15    129        2                 163.62

Predicted Scores Table:171/6
 Over  Score  Wickets  Predicted Final Score
    6     62        0                 173.18
    7     65        0                 180.81
    8     73        1                 165.37
    9     80        1                 171.70
   10     83        2                 176.12
   11     85        2                 176.51
   12     93        3                 164.29
   13     97        3                 184.52
   14    102        3                 171.75
   15    109        3                 156.64

Predicted Scores Table:169/10
 Over  Score  Wickets  Predicted Final Score
    6     35        1                 164.18
    7     44        1                 160.53
    8     55        2                 138.67
    9     65        2                 135.34
   10     81        2                 178.10
   11     96        2                 187.89
   12    103        2                 183.83
   13    118        2                 179.08
   14    131        2                 191.50
