player,Innings,Runs,wickets,opposition,ground
craig-ervine-55412,1,18,-,Pakistan,Bulawayo
craig-ervine-55412,1,6,-,Pakistan,Bulawayo
craig-ervine-55412,1,0,-,Sri Lanka,Colombo (RPS)
craig-ervine-55412,1,82,-,Sri Lanka,Colombo (RPS)
craig-ervine-55412,1,14,-,Sri Lanka,Bulawayo
craig-ervine-55412,1,25,-,Oman,Bulawayo
craig-ervine-55412,1,47,-,West Indies,Harare
craig-ervine-55412,1,39,-,Netherlands,Harare
craig-ervine-55412,1,4,-,Netherlands,Harare
craig-ervine-55412,1,11*,-,Ireland,Harare
craig-ervine-55412,1,0,-,Afghanistan,Harare
craig-ervine-55412,1,32,-,Afghanistan,Harare
craig-ervine-55412,1,91,-,Sri Lanka,Pallekele
craig-ervine-55412,1,9,-,Sri Lanka,Pallekele
craig-ervine-55412,1,57,-,Ireland,Belfast
craig-ervine-55412,1,64,-,Ireland,Belfast
craig-ervine-55412,1,1,-,Pakistan,Rawalpindi
craig-ervine-55412,1,3,-,Pakistan,Rawalpindi
craig-ervine-55412,1,8,-,Ireland,Belfast
craig-ervine-55412,1,105,-,Ireland,Bready
craig-ervine-55412,1,84,-,Netherlands,Deventer
craig-ervine-55412,1,16,-,Netherlands,Deventer
craig-ervine-55412,1,64,-,U.A.E.,Harare
craig-ervine-55412,1,0,-,South Africa,Paarl
craig-ervine-55412,1,7,-,South Africa,Kimberley
craig-ervine-55412,1,14,-,West Indies,Harare
craig-ervine-55412,1,20,-,Ireland,Harare
craig-ervine-55412,1,57,-,Scotland,Bulawayo
craig-ervine-55412,1,25,-,Hong Kong,Bulawayo
craig-ervine-55412,1,13,-,Afghanistan,Bulawayo
craig-ervine-55412,1,54*,-,Afghanistan,Sharjah
craig-ervine-55412,1,39,-,Afghanistan,Sharjah
craig-ervine-55412,1,14,-,Afghanistan,Sharjah
craig-ervine-55412,1,2,-,Sri Lanka,Mirpur
craig-ervine-55412,1,2,-,Sri Lanka,Mirpur
craig-ervine-55412,1,0,-,Bangladesh,Mirpur
craig-ervine-55412,1,16,-,Sri Lanka,Hambantota
craig-ervine-55412,1,22,-,Sri Lanka,Galle
craig-ervine-55412,1,0,-,Afghanistan,Harare
craig-ervine-55412,1,25,-,Sri Lanka,Bulawayo
craig-ervine-55412,1,7,-,West Indies,Bulawayo
craig-ervine-55412,1,23*,-,Sri Lanka,Bulawayo
craig-ervine-55412,1,92,-,West Indies,Bulawayo
craig-ervine-55412,1,0,-,Sri Lanka,Harare
craig-ervine-55412,1,21,-,India,Harare
craig-ervine-55412,1,73,-,Afghanistan,Sharjah
craig-ervine-55412,1,1,-,Afghanistan,Bulawayo
craig-ervine-55412,1,12,-,New Zealand,Harare
craig-ervine-55412,1,27,-,India,Auckland
craig-ervine-55412,1,80,-,West Indies,St George's
craig-ervine-55412,1,18,-,Bangladesh,Harare
craig-ervine-55412,1,66,-,Kenya,Eden Gardens
craig-ervine-55412,1,52,-,Pakistan,Pallekele
craig-ervine-55412,1,11,-,New Zealand,Ahmedabad
craig-ervine-55412,1,85,-,Canada,Nagpur
craig-ervine-55412,1,46,-,Bangladesh,Chattogram
craig-ervine-55412,1,42*,-,Bangladesh,Mirpur
craig-ervine-55412,1,41,-,Bangladesh,Mirpur
craig-ervine-55412,1,27,-,South Africa,Potchefstroom
craig-ervine-55412,1,9,-,Sri Lanka,Harare
craig-ervine-55412,2,0,-,Sri Lanka,Colombo (RPS)
craig-ervine-55412,2,2,-,Scotland,Bulawayo
craig-ervine-55412,2,50,-,Netherlands,Harare
craig-ervine-55412,2,121*,-,Nepal,Harare
craig-ervine-55412,2,44,-,Netherlands,Harare
craig-ervine-55412,2,38,-,Ireland,Harare
craig-ervine-55412,2,30,-,Afghanistan,Harare
craig-ervine-55412,2,0,-,Sri Lanka,Pallekele
craig-ervine-55412,2,TDNB,-,Ireland,Belfast
craig-ervine-55412,2,41,-,Pakistan,Rawalpindi
craig-ervine-55412,2,43,-,Ireland,Belfast
craig-ervine-55412,2,11,-,U.A.E.,Harare
craig-ervine-55412,2,13,-,U.A.E.,Harare
craig-ervine-55412,2,51,-,U.A.E.,Harare
craig-ervine-55412,2,24,-,Bangladesh,Mirpur
craig-ervine-55412,2,3,-,South Africa,Bloemfontein
craig-ervine-55412,2,22*,-,U.A.E.,Harare
craig-ervine-55412,2,34,-,Afghanistan,Sharjah
craig-ervine-55412,2,33,-,Afghanistan,Sharjah
craig-ervine-55412,2,11,-,Bangladesh,Mirpur
craig-ervine-55412,2,2,-,Sri Lanka,Hambantota
craig-ervine-55412,2,69*,-,Sri Lanka,Hambantota
craig-ervine-55412,2,18,-,Sri Lanka,Galle
craig-ervine-55412,2,30,-,Scotland,Edinburgh
craig-ervine-55412,2,0,-,Scotland,Edinburgh
craig-ervine-55412,2,4,-,Afghanistan,Harare
craig-ervine-55412,2,1,-,Afghanistan,Harare
craig-ervine-55412,2,34,-,Afghanistan,Harare
craig-ervine-55412,2,38*,-,Afghanistan,Harare
craig-ervine-55412,2,6,-,Afghanistan,Sharjah
craig-ervine-55412,2,21,-,Bangladesh,Mirpur
craig-ervine-55412,2,26,-,Bangladesh,Mirpur
craig-ervine-55412,2,2,-,Bangladesh,Mirpur
craig-ervine-55412,2,1,-,Afghanistan,Bulawayo
craig-ervine-55412,2,11,-,Afghanistan,Bulawayo
craig-ervine-55412,2,43,-,Afghanistan,Bulawayo
craig-ervine-55412,2,20*,-,Afghanistan,Bulawayo
craig-ervine-55412,2,101*,-,Ireland,Harare
craig-ervine-55412,2,60,-,Ireland,Harare
craig-ervine-55412,2,32,-,New Zealand,Harare
craig-ervine-55412,2,130*,-,New Zealand,Harare
craig-ervine-55412,2,DNB,-,Pakistan,Lahore
craig-ervine-55412,2,11,-,Ireland,Hobart
craig-ervine-55412,2,14,-,Pakistan,Brisbane
craig-ervine-55412,2,52,-,West Indies,Canberra
craig-ervine-55412,2,42,-,U.A.E.,Nelson
craig-ervine-55412,2,13,-,South Africa,Hamilton
craig-ervine-55412,2,41,-,West Indies,St George's
craig-ervine-55412,2,8*,-,Bangladesh,Harare
craig-ervine-55412,2,0,-,Bangladesh,Harare
craig-ervine-55412,2,17,-,Sri Lanka,Pallekele
craig-ervine-55412,2,0,-,Australia,Ahmedabad
craig-ervine-55412,2,5,-,Bangladesh,Mirpur
craig-ervine-55412,2,24,-,South Africa,Benoni
craig-ervine-55412,2,14,-,Ireland,Harare
craig-ervine-55412,2,19,-,Ireland,Harare
craig-ervine-55412,2,23,-,Ireland,Harare
craig-ervine-55412,2,DNB,-,Sri Lanka,Harare
craig-ervine-55412,2,DNB,-,India,Harare
mohammad-rizwan-323389,1,44,-,Australia,Melbourne
mohammad-rizwan-323389,1,31,-,South Africa,Chennai
mohammad-rizwan-323389,1,8,-,Afghanistan,Chennai
mohammad-rizwan-323389,1,49,-,India,Ahmedabad
mohammad-rizwan-323389,1,68,-,Netherlands,Hyderabad
mohammad-rizwan-323389,1,86*,-,Sri Lanka,Colombo (RPS)
mohammad-rizwan-323389,1,44,-,Nepal,Multan
mohammad-rizwan-323389,1,67,-,Afghanistan,Colombo (RPS)
mohammad-rizwan-323389,1,21,-,Afghanistan,Hambantota
mohammad-rizwan-323389,1,24,-,New Zealand,Karachi
mohammad-rizwan-323389,1,32,-,New Zealand,Karachi
mohammad-rizwan-323389,1,77,-,New Zealand,Karachi
mohammad-rizwan-323389,1,14,-,Netherlands,Rotterdam
mohammad-rizwan-323389,1,11,-,West Indies,Multan
